skill_code,base_skill_code,skill_name,skill_family,skill_theme,skill_type,environment,environment_code,tidal_regime,tidal_code,timescale,timescale_code,spatial_scale,spatial_code,data_modality,primary_output,hazard_focus,wave_exposure_typical,sediment_balance_typical,method_stage,family_order,skill_order,environment_order,tide_order,timescale_order,spatial_order,ring_1,ring_2,ring_3,ring_4,ring_5,ring_6,node_value,spatial_letter,family_letter,skill_letter,environment_letter,skill_name_short,short_code,short_code_label,legend_skill,legend_environment,legend_spatial,legend_family,skill_family_display,skill_name_display,environment_display,outer_code_display
OBS1.EL.ME.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,meso,ME,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,2,3,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.ME.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,meso,ME,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,2,3,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
OBS1.EL.ME.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,meso,ME,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,2,4,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.ME.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,meso,ME,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,2,4,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
OBS1.EL.MA.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,macro,MA,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,3,3,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.MA.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,macro,MA,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,3,3,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
OBS1.EL.MA.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,macro,MA,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,3,4,3,subregional,Observations,estuary / lagoon,EOEE,,,1,E,O,E,E,E,EOEE,EOEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,E = subregional / embayment,O = Observations,O,E,E,EOEE
OBS1.EL.MA.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,estuary / lagoon,EL,macro,MA,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,5,3,4,4,regional,Observations,estuary / lagoon,ROEE,,,1,R,O,E,E,E,ROEE,ROEE,E = Satellite-derived shoreline extraction,E = estuary / lagoon,R = regional,O = Observations,O,E,E,ROEE
OBS1.DE.MI.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,deltaic shoreline,DE,micro,MI,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,1,3,3,subregional,Observations,deltaic shoreline,EOEL,,,1,E,O,E,L,E,EOEL,EOEL,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,L,EOEL
OBS1.DE.MI.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,micro,MI,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,1,3,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS1.DE.MI.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,micro,MI,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,1,4,3,subregional,Observations,delta,EOED,,,1,E,O,E,D,E,EOED,EOED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,D,EOED
OBS1.DE.MI.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,micro,MI,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,1,4,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS1.DE.ME.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,meso,ME,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,2,3,3,subregional,Observations,delta,EOED,,,1,E,O,E,D,E,EOED,EOED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,D,EOED
OBS1.DE.ME.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,meso,ME,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,2,3,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS1.DE.ME.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,meso,ME,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,2,4,3,subregional,Observations,delta,EOED,,,1,E,O,E,D,E,EOED,EOED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,D,EOED
OBS1.DE.ME.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,meso,ME,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,2,4,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS1.DE.MA.IA.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,macro,MA,interannual,IA,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,3,3,3,subregional,Observations,delta,EOED,,,1,E,O,E,D,E,EOED,EOED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,D,EOED
OBS1.DE.MA.IA.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,macro,MA,interannual,IA,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,3,3,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS1.DE.MA.DE.SU,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,macro,MA,decadal,DE,subregional,SU,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,3,4,3,subregional,Observations,delta,EOED,,,1,E,O,E,D,E,EOED,EOED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,E = subregional / embayment,O = Observations,O,E,D,EOED
OBS1.DE.MA.DE.RG,OBS1,Satellite-derived shoreline extraction,Observations,Shoreline monitoring,technical,delta,DE,macro,MA,decadal,DE,regional,RG,satellite imagery,shoreline positions / shoreline change indicators,erosion / shoreline change,low to exposed,balanced to deficit,observation,1,1,6,3,4,4,regional,Observations,delta,ROED,,,1,R,O,E,D,E,ROED,ROED,E = Satellite-derived shoreline extraction,D = deltaic shoreline,R = regional,O = Observations,O,E,D,ROED
OBS2.SB.MI.EV.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,micro,MI,event,EV,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,1,1,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.SB.MI.SE.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,micro,MI,seasonal,SE,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,1,2,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.SB.ME.EV.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,meso,ME,event,EV,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,2,1,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.SB.ME.SE.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,meso,ME,seasonal,SE,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,2,2,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.SB.MA.EV.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,macro,MA,event,EV,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,3,1,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.SB.MA.SE.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,sandy beach,SB,macro,MA,seasonal,SE,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,1,3,2,1,site,Observations,sandy beach,SOHS,,,1,S,O,H,S,H,SOHS,SOHS,H = Video-based coastal monitoring,S = sandy beach,S = site,O = Observations,O,H,S,SOHS
OBS2.BI.MI.EV.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,barrier island,BI,micro,MI,event,EV,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,3,1,1,1,site,Observations,barrier island,SOHB,,,1,S,O,H,B,H,SOHB,SOHB,H = Video-based coastal monitoring,B = barrier island,S = site,O = Observations,O,H,B,SOHB
OBS2.BI.MI.SE.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,barrier island,BI,micro,MI,seasonal,SE,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,3,1,2,1,site,Observations,barrier island,SOHB,,,1,S,O,H,B,H,SOHB,SOHB,H = Video-based coastal monitoring,B = barrier island,S = site,O = Observations,O,H,B,SOHB
OBS2.BI.ME.EV.SI,OBS2,Video-based coastal monitoring,Observations,In situ monitoring,technical,barrier island,BI,meso,ME,event,EV,site,SI,video / image time stacks,shoreline / runup / morphology indicators,erosion / shoreline change / storm response,moderate to exposed,balanced to deficit,observation,1,2,3,2,1,1,site,Observations,barrier island,SOHB,,,1,S,O,H,B,H,SOHB,SOHB,H = Video-based coastal monitoring,B = barrier island,S = site,O = Observations,O,H,B,SOHB
